obj_id,ra,dec,filter,mjd,snr,instrument_id,instrument_name,ra_unc,dec_unc,origin,id,groups,altdata,mag,magerr,magsys,limiting_mag
ZTF20aaynrrh,185.4603349,4.4816963,ztfr,59165.55306709977,19.652211145794535,1,ZTF,,,,2235154,"[1, 3, 43, 61, 20]",,17.819067001342773,0.055247534066438675,ab,19.6033935546875
ZTF20aaynrrh,185.4603556,4.4816835,ztfr,59167.53423610004,15.208168065725031,1,ZTF,,,,2314002,"[1, 3, 43, 61, 20]",,17.84573745727539,0.07139164954423904,ab,19.58883285522461
ZTF20aaynrrh,185.4603558,4.4816931,ztfr,59167.53898150008,21.07643705855891,1,ZTF,,,,2314827,"[1, 3, 43, 61, 20]",,17.752092361450195,0.051514219492673874,ab,19.747827529907227
ZTF20aaynrrh,185.4603387,4.4816915,ztfr,59167.54372690013,17.712483381141393,1,ZTF,,,,2315916,"[1, 3, 43, 61, 20]",,17.811567306518555,0.06129779666662216,ab,19.593839645385742
ZTF20aaynrrh,185.4603233,4.4816708,ztfr,59167.548472200055,15.205042011184156,1,ZTF,,,,2316020,"[1, 3, 43, 61, 20]",,17.84736442565918,0.071406327188015,ab,19.386201858520508
ZTF20aaynrrh,185.4603398,4.4816909,ztfr,59167.5532176001,13.526964958463381,1,ZTF,,,,2316203,"[1, 3, 43, 61, 20]",,17.824708938598633,0.08026458323001862,ab,19.24312400817871
ZTF20aaynrrh,,,ztfr,59175.50212959992,,1,ZTF,,,,2958843,"[1, 3, 41, 43, 61, 87, 20, 214, 215, 223, 235]",,,,ab,17.504499435424805
ZTF20aaynrrh,185.4603898,4.4816818,ztfg,59176.516423599795,9.885886588546914,1,ZTF,,,,2958844,"[1, 3, 41, 43, 61, 87, 20]",,18.926958084106445,0.10982689261436462,ab,20.059864044189453
ZTF20aaynrrh,185.4603616,4.4816904,ztfr,59176.56158560002,13.86791342332499,1,ZTF,,,,2961215,"[1, 3, 41, 43, 61, 87, 20]",,17.935882568359375,0.07829124480485916,ab,19.262516021728516
ZTF20aaynrrh,185.4604616,4.4816655,ztfg,59180.50350689981,4.494238821291262,1,ZTF,,,,3369730,"[1, 3, 41, 43, 61, 87, 20, 214, 215, 223, 235]",,19.200599670410156,0.2415840029716492,ab,19.22480010986328
ZTF20aaynrrh,185.4603441,4.4816821,ztfr,59180.5613425998,8.882825653213068,1,ZTF,,,,3369731,"[1, 3, 41, 43, 61, 87, 20, 214]",,17.975683212280273,0.12222869694232942,ab,19.09966468811035
ZTF20aaynrrh,185.4603572,4.4817173,ztfr,59184.50668979995,14.746467260624756,1,ZTF,,,,3851549,"[1, 3, 41, 43, 61, 87, 20, 214, 215]",,18.13277244567871,0.07362686842679977,ab,19.46146011352539
ZTF20aaynrrh,,,ztfg,59186.54259259999,,1,ZTF,,,,4385051,"[1, 3, 41, 43, 61, 87, 20, 214, 215, 223, 235]",,,,ab,18.7189998626709
ZTF20aaynrrh,185.4603358,4.4816914,ztfr,59188.51071760012,13.576763130207468,1,ZTF,,,,4385052,"[1, 3, 41, 43, 61, 87, 20, 214, 215, 223]",,18.178476333618164,0.07997018098831177,ab,19.695009231567383
ZTF20aaynrrh,185.4603534,4.4816933,ztfg,59188.54197920021,8.675337890683508,1,ZTF,,,,4406960,"[1, 3, 41, 43, 61, 87, 20, 214, 215, 223]",,18.8913516998291,0.12515203654766086,ab,19.66438102722168
ZTF20aaynrrh,185.460352,4.4816968,ztfr,59194.516099500004,15.55798641552317,1,ZTF,,,,6097721,"[1, 3, 41, 43, 61, 87, 20, 214, 215, 223]",,18.280866622924805,0.06978642195463179,ab,20.131961822509766
ZTF20aaynrrh,185.4603353,4.48167,ztfg,59194.549050900154,10.95776815542971,1,ZTF,,,,6114876,"[1, 3, 41, 43, 61, 87, 20, 214, 215, 223, 235]",,19.131187438964844,0.09908369928598404,ab,20.373594284057617
ZTF20aaynrrh,185.4603587,4.4816491,ztfr,59198.48471060023,13.40934705587322,1,ZTF,,,,6828754,"[1, 3, 41, 43, 61, 87, 20, 214, 215, 223, 235]",,18.32574462890625,0.08096861094236374,ab,19.75623321533203
ZTF20aaynrrh,185.4603766,4.4816912,ztfg,59198.525879600085,9.245312861666493,1,ZTF,,,,6849848,"[1, 3, 41, 43, 61, 87, 20, 214, 215, 223, 235]",,19.07208824157715,0.11743639409542084,ab,20.200021743774414
ZTF20aaynrrh,185.4602522,4.4816624,ztfg,59200.448437499814,4.846106419032251,1,ZTF,,,,7370255,"[1, 3, 41, 43, 61, 87, 20, 214, 215, 223, 235]",,18.938600540161133,0.22404299676418304,ab,18.86050033569336
ZTF20aaynrrh,185.4603555,4.4817147,ztfr,59200.5254861,9.073090992690096,1,ZTF,,,,7370256,"[1, 3, 41, 43, 61, 87, 20, 214, 215, 223, 235]",,18.341508865356445,0.11966552585363388,ab,19.271432876586914
ZTF20aaynrrh,185.4603801,4.4816932,ztfr,59203.4991088002,11.902065581277496,1,ZTF,,,,7793442,"[1, 3, 41, 43, 61, 87, 20, 214, 215, 223, 235]",,18.5048770904541,0.09122250229120255,ab,19.88511085510254
ZTF20aaynrrh,185.4603912,4.4816678,ztfg,59203.54052079981,9.371046347966882,1,ZTF,,,,7803234,"[1, 3, 41, 43, 61, 87, 20, 214, 215, 223, 235]",,19.12761688232422,0.11586072295904161,ab,20.178464889526367
